CODPROD,NUMPOL,FECINIVIG,MTOOPER,CODPLAN,Mes
AUKM,655,2025-03-27 0:00:00,533.34,2 MIL KM,3
AUKM,711,2025-03-27 0:00:00,3771.02,6 MIL KM,3
AUKM,1824,2025-03-28 0:00:00,774.92,2 MIL KM,3
AUKM,1316,2025-03-28 0:00:00,609.92,2 MIL KM,3
AUKM,704,2025-03-28 0:00:00,1066.67,4 MIL KM,3
AUKM,1826,2025-03-28 0:00:00,996.84,4 MIL KM,3
AUKM,819,2025-03-29 0:00:00,1066.67,4 MIL KM,3
AUKM,1258,2025-03-29 0:00:00,1600,6 MIL KM,3
AUKM,1830,2025-03-30 0:00:00,539.92,2 MIL KM,3
AUKM,733,2025-03-30 0:00:00,2516.45,6 MIL KM,3
AUKM,732,2025-03-31 0:00:00,875.67,2 MIL KM,3
AUKM,1833,2025-04-01 0:00:00,886.68,4 MIL KM,4
AUKM,300,2025-04-01 0:00:00,1079.86,4 MIL KM,4
AUKM,1835,2025-04-02 0:00:00,1078.34,2 MIL KM,4
AUKM,1836,2025-04-02 0:00:00,1363.86,4 MIL KM,4
AUKM,1837,2025-04-02 0:00:00,1444.55,6 MIL KM,4
AUKM,728,2025-04-03 0:00:00,533.34,2 MIL KM,4
AUKM,1842,2025-04-03 0:00:00,443.33,2 MIL KM,4
AUKM,1838,2025-04-03 0:00:00,1717.28,6 MIL KM,4
AUKM,722,2025-04-03 0:00:00,1740.67,6 MIL KM,4
AUKM,1841,2025-04-03 0:00:00,2531.78,6 MIL KM,4
AUKM,1843,2025-04-04 0:00:00,598.59,2 MIL KM,4
AUKM,1844,2025-04-04 0:00:00,1121.33,2 MIL KM,4
AUKM,1845,2025-04-04 0:00:00,1748.2,2 MIL KM,4
AUKM,775,2025-04-05 0:00:00,980.09,2 MIL KM,4
AUKM,1847,2025-04-05 0:00:00,1396.59,2 MIL KM,4
AUKM,1849,2025-04-05 0:00:00,949.92,2 MIL KM,4
AUKM,735,2025-04-05 0:00:00,1160.46,4 MIL KM,4
AUKM,1851,2025-04-05 0:00:00,2904.86,4 MIL KM,4
AUKM,1848,2025-04-05 0:00:00,2682.28,6 MIL KM,4
AUKM,416,2025-04-06 0:00:00,639.92,2 MIL KM,4
AUKM,1853,2025-04-06 0:00:00,1079.86,4 MIL KM,4
AUKM,1854,2025-04-07 0:00:00,539.92,2 MIL KM,4
AUKM,1856,2025-04-08 0:00:00,879.92,2 MIL KM,4
AUKM,1858,2025-04-08 0:00:00,539.92,2 MIL KM,4
AUKM,747,2025-04-08 0:00:00,533.34,2 MIL KM,4
AUKM,1855,2025-04-08 0:00:00,1972.44,4 MIL KM,4
AUKM,760,2025-04-08 0:00:00,2387.87,4 MIL KM,4
AUKM,1862,2025-04-08 0:00:00,1233.76,MOTO 3MIL KM,4
AUTO,507764,2025-04-08 0:00:00,3936.75,Todo Riesgo,4
AUKM,802,2025-04-09 0:00:00,1262.6,2 MIL KM,4
AUKM,1860,2025-04-09 0:00:00,1898.74,4 MIL KM,4
AUKM,1866,2025-04-10 0:00:00,639.92,2 MIL KM,4
AUKM,1867,2025-04-10 0:00:00,699.92,2 MIL KM,4
AUKM,1871,2025-04-10 0:00:00,580.22,2 MIL KM,4
AUKM,1863,2025-04-10 0:00:00,2095.28,4 MIL KM,4
AUKM,1865,2025-04-10 0:00:00,5244.61,6 MIL KM,4
AUKM,1236,2025-04-10 0:00:00,2324.77,6 MIL KM,4
AUKM,168,2025-04-11 0:00:00,927.6,2 MIL KM,4
AUKM,1497,2025-04-11 0:00:00,699.93,2 MIL KM,4
AUKM,1875,2025-04-11 0:00:00,443.33,2 MIL KM,4
AUKM,767,2025-04-11 0:00:00,1066.67,4 MIL KM,4
AUKM,1231,2025-04-12 0:00:00,1005.77,2 MIL KM,4
AUKM,1659,2025-04-12 0:00:00,443.33,2 MIL KM,4
AUKM,1881,2025-04-12 0:00:00,699.92,2 MIL KM,4
